k0_hold,k0_ud,k0_dd,k1_hold,k1_ud,k1_dd,k2_hold,k2_ud,k2_dd,k3_hold,k3_ud,k3_dd,k4_hold,k4_ud,k4_dd,k5_hold,k5_ud,k5_dd,k6_hold,k6_ud,k6_dd,k7_hold,k7_ud,k7_dd,k8_hold,k8_ud,k8_dd,k9_hold,k9_ud,k9_dd,k10_hold,k10_ud,k10_dd,k11_hold,k11_ud,k11_dd,k12_hold,k12_ud,k12_dd,k13_hold,k13_ud,k13_dd,k14_hold,k14_ud,k14_dd,k15_hold,k15_ud,k15_dd,k16_hold,k16_ud,k16_dd,k17_hold,k17_ud,k17_dd,k18_hold,k18_ud,k18_dd,k19_hold,k19_ud,k19_dd
0.1281319,2.8550009e-08,-3.9934516e-08,0.08723684,0.0049591903,0.13102712,0.12917295,0.038068954,0.098916054,0.100209594,0.048747625,0.16615458,0.14795598,-0.12058628,0.084043235,0.116780445,0.019130077,0.17338806,0.13210097,0.38687173,0.36316028,0.13567397,0.15606084,0.25150648,0.08227225,0.0055255927,0.17804769,0.105693676,0.047071725,-0.027991742,0.10579457,0.15877219,0.10405114,0.11010912,0.03840576,0.1968407,0.114823595,0.004907906,0.050940916,0.1401094,0.028920498,0.1339808,0.121144585,-0.13728791,-0.033295527,0.1350927,-0.08652128,0.1092722,0.12196878,0.17594098,0.34062737,0.102916986,0.06762508,0.17227414,0.14586142,0.18207881,0.5035387,0.09009138,-0.057668507,0.32323965
0.11237745,5.046204e-09,-2.7023473e-08,0.08279402,0.015118358,0.12441933,0.13404441,0.032716744,0.10473812,0.119183555,0.018550914,0.12901601,0.1111026,-0.022493385,0.10182192,0.09092963,0.015752224,0.14271532,0.11684464,0.27652657,0.24352328,0.096482754,0.08447319,0.1777742,0.10203901,0.0287662,0.20062317,0.119501635,0.0030204467,0.06579919,0.083186276,0.14487374,0.43704548,0.12965396,0.21612568,0.23594537,0.11197804,0.0538048,0.14447218,0.123378195,0.02737546,0.104076706,0.084328316,0.07360043,0.17739384,0.12256289,-0.00622092,0.110472724,0.10282864,0.09157976,0.24401538,0.1044621,0.035782862,0.161286,0.15154074,0.34203982,0.4263709,0.11511436,0.23722252,0.49976674
0.10738391,2.1713223e-08,-4.0357737e-08,0.08408696,0.0034365878,0.09705679,0.13103499,0.06568451,0.12619992,0.106290236,0.0071924087,0.1376144,0.13326997,0.02226653,0.18548417,0.087907314,0.023715433,0.17222738,0.09702671,0.3734805,0.4630159,0.14869528,0.14076564,0.31326824,0.09836009,0.06201064,0.23534425,0.11960797,-0.023922019,-0.009082288,0.095817976,0.33621976,0.42641217,0.14827025,0.13883236,0.22941512,0.12787578,0.036005713,0.10705886,0.0988191,0.08749406,0.15552212,0.11581571,-0.022355922,0.17791669,0.12121086,0.031828962,0.18172817,0.11886241,0.15680295,0.2775457,0.12387771,0.05821829,0.19599065,0.1460293,0.20044419,0.3423885,0.0999269,0.3913033,0.61138386
0.09451928,3.805007e-08,-1.1382192e-08,0.07886114,0.021404434,0.09017585,0.16706315,0.028820567,0.10481765,0.14485902,-0.056931823,0.10967286,0.07989751,0.055085186,0.063588336,0.07832287,0.03682006,0.10682559,0.08816645,-0.014618054,-0.04351312,0.07322245,0.21750733,0.19997387,0.12327892,0.079159595,0.19932732,0.11566625,0.16774851,0.24475296,0.08387544,0.13520901,0.4018524,0.12328406,0.24659774,0.43144506,0.10620011,0.048592214,0.2274119,0.07878956,0.049614184,0.11597266,0.10233485,0.18574706,0.27798548,0.1220292,0.116268255,0.17360792,0.10595673,-0.0010011643,0.23597252,0.08222413,0.032850336,0.113819614,0.13478622,0.25048372,0.26564988,0.12100646,0.24123839,0.36315674
0.098705694,2.206307e-08,4.4984045e-08,0.06492683,0.045249075,0.15277687,0.11458973,0.054993898,0.11400031,0.109791294,-0.045679968,0.11274738,0.09805499,0.12494585,0.3220909,0.09877781,0.03839098,0.1362155,0.09540458,0.059035905,0.28009418,0.10176054,0.09062883,0.20479174,0.098519616,0.06023909,0.15064348,0.11999533,0.06670976,0.14789477,0.07819982,0.24907078,0.19020963,0.1504668,0.16582778,0.26159492,0.120720215,0.09564015,0.21544398,0.09376161,0.023971729,0.17222548,0.112355575,0.21133026,0.31559962,0.11004053,0.06518403,0.16799775,0.10694117,-0.0044834837,0.10005898,0.08452621,0.013888488,0.12945175,0.16419578,0.08743803,0.13772556,0.11499909,0.6713618,0.958637
0.09254828,-1.1712021e-08,-6.072588e-08,0.09320525,-0.0044166315,0.08036336,0.15733904,0.020198384,0.08299132,0.12314605,-0.019695882,0.1460866,0.10008399,-0.082438014,0.045271516,0.08967739,-0.029162716,0.16719933,0.14374414,0.21692754,0.0869748,0.08670345,0.13767259,0.17422701,0.100152574,0.039428256,0.21693352,0.1486156,-0.11652901,-0.02011852,0.11366157,0.21592596,0.15408292,0.13719581,0.28592414,0.3226698,0.10762273,-0.0075086355,0.13002183,0.13606343,0.052123345,0.07976125,0.08814015,-0.0059668645,-0.020396724,0.14495313,-0.08375949,0.0852077,0.13181807,0.07787578,0.2632742,0.10200113,0.031316157,0.14512771,0.12966357,0.2800949,0.6932703,0.12363556,0.21174817,0.35443562
0.114301346,1.4613578e-08,-7.456065e-09,0.08285958,0.022936875,0.1417283,0.122240186,0.029704016,0.120194264,0.08914275,0.07015854,0.17724328,0.14835903,-0.031323858,0.13228099,0.07151307,0.058188424,0.23632476,0.074640915,0.57181597,0.66111434,0.19351292,0.05116466,0.19040343,0.09606438,0.008912675,0.27108634,0.121120326,-0.06342491,-0.029068455,0.086283736,0.43846852,0.6253978,0.13199525,0.23533852,0.25646114,0.09639265,0.008060638,0.06444563,0.11966496,0.062235635,0.11754371,0.10770442,0.05620086,0.07471063,0.1384681,-0.060852967,0.082362354,0.11976392,0.16974889,0.35009277,0.14610192,0.11827916,0.21970057,0.121252984,0.48244286,0.6019894,0.1003725,0.16161224,0.4233479
0.110857345,1.941083e-08,1.8047926e-08,0.067912705,0.018196356,0.13126415,0.110996544,0.050154157,0.14248182,0.09457027,0.065042235,0.14638881,0.13982409,0.042278484,0.11755922,0.11370683,0.019950194,0.1465498,0.09954405,0.36888,0.43751156,0.13635786,0.19718066,0.24258348,0.05943993,0.018900182,0.121812746,0.09452531,0.065876886,0.14757317,0.10795583,0.06395362,0.08350885,0.14256503,0.14185743,0.29681495,0.12728274,0.023871701,0.121279165,0.11884157,0.00526361,0.15938039,0.14332959,0.0030402914,0.14351596,0.13407415,0.09390854,0.119249776,0.11245155,0.01852084,0.21147628,0.13853616,0.022954073,0.15574862,0.18686606,-0.07100354,0.10348204,0.07647592,-0.16679463,0.19588998
0.10977672,5.3459748e-09,-3.0990652e-08,0.08913072,0.017570095,0.1425572,0.13738778,0.034762498,0.11116854,0.09407841,0.046718106,0.17605412,0.14483953,0.019000784,0.2037712,0.079384305,0.077203125,0.22722992,0.09401027,0.41435197,0.53224313,0.22106302,-0.03984981,0.14535505,0.090829276,0.00949616,0.26444685,0.13164893,-0.1354191,-0.074573636,0.06332989,0.36266926,0.5714241,0.11297616,0.2110592,0.2265578,0.11283802,0.031335335,0.08579336,0.12999572,0.046214435,0.13462044,0.08926495,0.031817984,0.084740944,0.13389137,-0.06536068,0.03400752,0.12752056,0.12236713,0.31531516,0.1401433,0.08531867,0.20455046,0.11636762,0.6113712,0.81136495,0.117572606,-0.0102957785,0.48654202
0.10065836,1.5950294e-08,-6.811244e-09,0.08172984,0.015127129,0.11539108,0.13268253,0.041664634,0.12339158,0.11933894,-0.038614634,0.123773836,0.11879128,0.07569287,0.15478167,0.07697272,0.04497346,0.17104466,0.11483637,-0.027265534,0.2660967,0.12767293,0.11635586,0.28224647,0.102520615,0.11310492,0.22561938,0.117890835,-0.06406352,0.0802274,0.0931762,0.4138139,0.33035192,0.13087945,0.16691177,0.29459718,0.10621655,0.07040183,0.12585153,0.090722285,0.054897238,0.15088794,0.10361577,0.12538433,0.17300971,0.12207605,-0.0141786,0.16640145,0.114238985,0.062060054,0.18929483,0.09046206,0.02511127,0.16056016,0.15092832,0.28554755,0.3717331,0.11704621,0.3614608,0.48250192
