k0_hold,k0_ud,k0_dd,k1_hold,k1_ud,k1_dd,k2_hold,k2_ud,k2_dd,k3_hold,k3_ud,k3_dd,k4_hold,k4_ud,k4_dd,k5_hold,k5_ud,k5_dd,k6_hold,k6_ud,k6_dd,k7_hold,k7_ud,k7_dd,k8_hold,k8_ud,k8_dd,k9_hold,k9_ud,k9_dd,k10_hold,k10_ud,k10_dd,k11_hold,k11_ud,k11_dd,k12_hold,k12_ud,k12_dd,k13_hold,k13_ud,k13_dd,k14_hold,k14_ud,k14_dd,k15_hold,k15_ud,k15_dd,k16_hold,k16_ud,k16_dd,k17_hold,k17_ud,k17_dd,k18_hold,k18_ud,k18_dd,k19_hold,k19_ud,k19_dd
0.08000346,-4.400929e-09,1.6434228e-09,0.102298535,0.034253925,0.11272391,0.124066696,-0.03632068,0.06576147,0.12045944,-0.012821212,0.10800925,0.12176243,-0.03452294,0.087717734,0.093347445,0.03884892,0.1878376,0.112808965,0.12767105,0.21980561,0.09534514,0.035506427,0.14044608,0.100270435,0.071969435,0.14990157,0.09110038,0.013930831,0.103988394,0.08033592,-0.0069672894,0.0769675,0.090559006,0.12818907,0.19701526,0.07804365,-0.0020322725,0.077878736,0.10306841,0.045995973,0.11896938,0.07528274,0.038224027,0.1243371,0.0939959,0.031402837,0.10346608,0.0930482,-0.011219205,0.07301095,0.08025219,0.017686319,0.09879004,0.11513996,0.26498172,0.28310764,0.10845263,0.013063405,0.11197826
0.080005355,-4.004442e-09,8.8065033e-10,0.10241362,0.033740018,0.11166367,0.12390977,-0.036983095,0.06402142,0.11969973,-0.015893918,0.10412211,0.12110769,-0.038530268,0.08113272,0.09216244,0.019036219,0.16158536,0.11248394,0.11856594,0.21148308,0.09764403,0.018541627,0.13143899,0.10286407,0.057149056,0.14752297,0.09478163,0.0018076897,0.103823975,0.08382061,-0.011497432,0.07753982,0.09272213,0.12447533,0.19789666,0.08002232,-0.0046552345,0.078614295,0.104503505,0.043694206,0.120035194,0.07595557,0.036296748,0.12500285,0.09505868,0.03033305,0.104153305,0.09352819,-0.011765791,0.07327072,0.08056485,0.017232055,0.098995745,0.11540535,0.26239413,0.2840284,0.10887844,0.012752332,0.11215508
0.08033894,-2.0665585e-09,3.4175591e-09,0.10414074,0.038604654,0.1166689,0.12611897,-0.034187295,0.07000274,0.1229856,-0.009362749,0.11174892,0.12345903,-0.032255046,0.09072392,0.095723,0.042147666,0.19263616,0.11517691,0.12736541,0.22094472,0.09708443,0.033992644,0.1406168,0.1014532,0.070191704,0.15008642,0.092321254,0.012211379,0.104160644,0.08143394,-0.007736923,0.077154264,0.0911291,0.12754919,0.19725922,0.07856946,-0.0025250148,0.07806753,0.10353176,0.045382924,0.11920276,0.075491235,0.037698094,0.12457868,0.09441382,0.031153422,0.10373269,0.09319783,-0.0114243515,0.073087916,0.08030811,0.017587481,0.09884808,0.11518643,0.26409772,0.2832393,0.10859006,0.012972955,0.11197624
0.07998396,-3.9779096e-09,1.1285888e-09,0.10259653,0.034621634,0.11236138,0.12421354,-0.036610097,0.06433515,0.12009224,-0.015668718,0.10449985,0.121175155,-0.039321087,0.08047912,0.09230356,0.017475124,0.16262165,0.1124665,0.119354084,0.21316114,0.09743565,0.020298027,0.13388771,0.102535576,0.05949772,0.14806794,0.09416365,0.0039756447,0.10371782,0.08308785,-0.01058333,0.07749507,0.092256,0.12526684,0.1976468,0.079520896,-0.004076937,0.0785216,0.10412838,0.04422597,0.11973012,0.07574904,0.036829013,0.12489439,0.09471661,0.030650746,0.10401815,0.093307585,-0.011609387,0.07322194,0.08038805,0.017418493,0.09898466,0.11524194,0.2636676,0.28353405,0.10857498,0.012868803,0.11206436
0.08036477,-2.1205135e-09,3.6304826e-09,0.1031948,0.035823207,0.11456574,0.12453919,-0.036229797,0.065683484,0.12033328,-0.014717827,0.105846524,0.121567935,-0.037414573,0.083328836,0.09328948,0.02853541,0.17544846,0.112742655,0.12379864,0.21779455,0.09605207,0.030939639,0.13844219,0.10096453,0.06924272,0.14952287,0.09181606,0.012293093,0.10371352,0.08076338,-0.0074882824,0.07683915,0.090761594,0.12790619,0.19702426,0.07823726,-0.0021802038,0.07790873,0.10319056,0.04576806,0.118982114,0.075287454,0.038013246,0.12437459,0.094107054,0.031413265,0.103564106,0.0930094,-0.011262493,0.0729827,0.080271795,0.017670795,0.09880494,0.11511734,0.26487964,0.2829607,0.10846253,0.013059091,0.112001665
0.08027297,-2.5101126e-09,2.8773406e-09,0.10301727,0.035279155,0.11435956,0.124148175,-0.036727786,0.06508803,0.11955114,-0.016340578,0.104498126,0.12046396,-0.04070524,0.07895087,0.09028261,0.0074223466,0.14790869,0.10951214,0.11323355,0.20393646,0.09533753,0.011676336,0.123339556,0.102038905,0.05291735,0.14396548,0.094343156,-0.0010323748,0.102035075,0.08355354,-0.012251368,0.07699235,0.09257965,0.12412741,0.19750643,0.07977543,-0.004629886,0.07845487,0.104296446,0.043896396,0.11964242,0.07581729,0.036513172,0.12485684,0.09481684,0.030525051,0.103995554,0.093371555,-0.011634253,0.07322299,0.08041891,0.01740685,0.09896982,0.11527596,0.2633235,0.28384304,0.10861363,0.012801338,0.112109914
0.08006739,-3.975936e-09,1.4738561e-09,0.10284555,0.035055485,0.113247074,0.12449393,-0.036052488,0.06608074,0.12092612,-0.012749342,0.10832181,0.122096695,-0.035405867,0.086033314,0.093935385,0.028454788,0.1755034,0.114252545,0.121070564,0.21493907,0.098235786,0.02233363,0.13573824,0.10272994,0.06066703,0.149108,0.09406894,0.0053873546,0.10433471,0.08285831,-0.010108823,0.077621445,0.09207959,0.12576331,0.19774018,0.079381816,-0.003724657,0.07848798,0.10402101,0.044516504,0.119694084,0.07566393,0.036978357,0.12482125,0.0946739,0.030748412,0.1039931,0.09328814,-0.0115664415,0.07320029,0.08044118,0.01742652,0.09894068,0.115222834,0.2632988,0.2835986,0.108628936,0.012866344,0.11206795
0.08038645,-2.3515976e-09,3.6030947e-09,0.104183584,0.038111337,0.11716435,0.12609942,-0.034587532,0.07000281,0.12280282,-0.010041577,0.11240701,0.123324625,-0.03233339,0.092914484,0.09514225,0.045300342,0.20175667,0.11370231,0.1300675,0.22331592,0.09526698,0.039020825,0.14281991,0.10014755,0.07400452,0.15081024,0.09083497,0.014929358,0.104188725,0.079995245,-0.006641062,0.07703255,0.090361975,0.12841475,0.19699734,0.07789967,-0.0018691774,0.077870764,0.10300231,0.046057776,0.118948355,0.07517804,0.0382333,0.12435905,0.09382021,0.031518653,0.10356039,0.09294609,-0.011218904,0.0730173,0.08015692,0.017728627,0.098827735,0.11503192,0.26477945,0.28294176,0.10852842,0.013070025,0.11195159
0.080314726,-2.8939366e-09,3.8518655e-09,0.10360867,0.036561742,0.11604684,0.1251433,-0.035656456,0.067694604,0.12189813,-0.01126647,0.11055341,0.122765034,-0.03265114,0.09114052,0.09417985,0.04846354,0.20105222,0.11214047,0.1322492,0.22326636,0.09418734,0.042649847,0.14247993,0.09956552,0.07626595,0.15036753,0.09008921,0.016657338,0.103785425,0.079459675,-0.006097043,0.076740645,0.09003683,0.12889926,0.1967859,0.07760664,-0.0015743487,0.077762626,0.102789536,0.0463522,0.11882034,0.07507607,0.038488872,0.12424974,0.09368639,0.031692337,0.10343884,0.09290179,-0.011140013,0.072941735,0.08009036,0.017765526,0.09878123,0.1149921,0.26548094,0.28292227,0.10843825,0.01311864,0.1119203
0.08025961,-3.4531111e-09,2.2176105e-09,0.10398569,0.03703451,0.115741275,0.12579192,-0.03483957,0.069301926,0.12234028,-0.00947878,0.11245598,0.12292097,-0.03103285,0.09384519,0.09415665,0.05256871,0.20647141,0.11113246,0.13396545,0.22428381,0.093027376,0.04533418,0.14299077,0.09898261,0.07814118,0.15027425,0.08941351,0.017995883,0.10352394,0.078860655,-0.005549293,0.07656007,0.089727454,0.12930743,0.19663921,0.07735423,-0.001272941,0.077603176,0.10266311,0.046582043,0.11863883,0.075035766,0.038638055,0.12417071,0.09352546,0.03178255,0.103386104,0.09285641,-0.011088466,0.07290305,0.08006963,0.017865855,0.09873894,0.11499721,0.26574162,0.28267527,0.10829641,0.013193049,0.11188069
0.08048863,-1.7225577e-09,4.157071e-09,0.10423361,0.037766084,0.11671457,0.12602642,-0.034709696,0.06975037,0.122924596,-0.009080395,0.11392331,0.12342905,-0.030583723,0.09614818,0.094979614,0.05397602,0.2110979,0.112306826,0.13364208,0.22579584,0.09413015,0.043582603,0.14456868,0.09972509,0.07618925,0.15114614,0.09032185,0.016250867,0.10425986,0.07956401,-0.0061874297,0.076899886,0.09015172,0.12880614,0.19691612,0.07772155,-0.0015947856,0.07776129,0.102948375,0.04626658,0.11879418,0.07516201,0.03842096,0.124219134,0.09375827,0.031657595,0.10347093,0.09299319,-0.011183333,0.072945185,0.080172285,0.017774235,0.09876363,0.115031056,0.26509225,0.28254348,0.108390965,0.013119172,0.1119646
0.08024551,-3.5830487e-09,2.488666e-09,0.102721296,0.034231033,0.11327113,0.12367166,-0.037188616,0.0637837,0.119427,-0.01628019,0.10388923,0.12088839,-0.039640136,0.07927167,0.09189967,0.015777972,0.15413952,0.11219508,0.117340825,0.2079839,0.09751399,0.016495265,0.1274324,0.10323235,0.054987542,0.14472449,0.096072905,-0.0012660976,0.10195554,0.085298516,-0.013013188,0.07708044,0.09355157,0.123143494,0.19772826,0.08090857,-0.005579088,0.0787023,0.10524121,0.042800616,0.12005211,0.07634604,0.035507906,0.12523249,0.09575718,0.029801894,0.10446035,0.09378816,-0.012027537,0.07344906,0.08074477,0.01708223,0.099092215,0.1154495,0.2615465,0.28414738,0.108927175,0.0126469955,0.11216593
0.08027785,-2.4566964e-09,2.940436e-09,0.103897855,0.03772264,0.11569034,0.12566867,-0.03497577,0.068878986,0.12235991,-0.01032124,0.112718366,0.122949,-0.030821012,0.0958159,0.09433407,0.053575687,0.2096843,0.11187972,0.13364528,0.22492498,0.09370758,0.044632096,0.14341888,0.09929528,0.07717961,0.15073323,0.08975199,0.017279424,0.10380171,0.079103924,-0.005757436,0.07665215,0.08993715,0.12914033,0.19671002,0.077455446,-0.0013768617,0.07768537,0.10268452,0.046505377,0.11865878,0.07502477,0.038663205,0.12421287,0.09370546,0.031767838,0.10341038,0.09286689,-0.011113411,0.07288098,0.0801555,0.017839398,0.098770484,0.11502686,0.26568165,0.28279856,0.10834381,0.0131518915,0.11188477
