k0_hold,k0_ud,k0_dd,k1_hold,k1_ud,k1_dd,k2_hold,k2_ud,k2_dd,k3_hold,k3_ud,k3_dd,k4_hold,k4_ud,k4_dd,k5_hold,k5_ud,k5_dd,k6_hold,k6_ud,k6_dd,k7_hold,k7_ud,k7_dd,k8_hold,k8_ud,k8_dd,k9_hold,k9_ud,k9_dd,k10_hold,k10_ud,k10_dd,k11_hold,k11_ud,k11_dd,k12_hold,k12_ud,k12_dd,k13_hold,k13_ud,k13_dd,k14_hold,k14_ud,k14_dd,k15_hold,k15_ud,k15_dd,k16_hold,k16_ud,k16_dd,k17_hold,k17_ud,k17_dd,k18_hold,k18_ud,k18_dd,k19_hold,k19_ud,k19_dd
0.09893329,-1.2857141e-08,-2.7860958e-09,0.13798246,0.012955442,0.1627624,0.11640273,-0.030002385,0.10512255,0.12629543,0.019692976,0.13084878,0.12024794,-0.040256545,0.07552914,0.08501839,-0.057871364,0.10776141,0.08615683,0.09998865,0.16319494,0.08129178,0.0033406187,0.09614177,0.088470235,0.01788529,0.104899816,0.091336906,-0.0044223256,0.10071917,0.057406392,-0.02502646,0.05161064,0.075494796,0.09016022,0.16263092,0.062215656,-0.027818143,0.054417167,0.08309837,0.031093264,0.07352993,0.072431155,0.0137132965,0.09335874,0.07778495,-0.014669389,0.072284885,0.10366234,-0.03330018,0.047870755,0.059796307,-0.030715905,0.067777716,0.11132102,-0.02658576,0.0439097,0.10639065,-0.075870305,0.030049842
0.08240564,-2.5577444e-08,2.1691857e-08,0.101318054,0.034541562,0.16674538,0.10416223,-0.015440658,0.08632897,0.13561863,0.013547055,0.112862825,0.11626632,-0.02294268,0.08843428,0.06342404,-0.058048427,0.09102358,0.06506032,0.093539245,0.15178907,0.07878428,-0.024073651,0.052557975,0.092590354,0.05443093,0.122827195,0.09432669,-0.05884437,0.038022026,0.07285389,-0.0207722,0.05353236,0.056742787,0.120267496,0.19712289,0.063303106,-0.029596955,0.044103093,0.10790718,-0.0038409568,0.082577415,0.06128857,-0.019016255,0.096606,0.075960174,-0.0061692013,0.07176768,0.0859146,-0.029322803,0.03214614,0.070750415,-0.0006303014,0.07847106,0.111244746,-0.034822233,0.08010105,0.093273595,-0.025437417,0.09548156
0.07117956,-2.7134524e-08,1.6416116e-08,0.09427913,0.06686452,0.12219508,0.116299346,-0.03305994,0.035731383,0.12611727,-0.016144194,0.102112,0.116637975,-0.030393057,0.0629074,0.07169949,-0.034258444,0.09829287,0.09024919,0.0930927,0.1925392,0.092262626,-0.019274883,0.03074734,0.086510174,0.07059926,0.14887002,0.085572645,-0.06104071,0.03651219,0.061915312,-0.022999395,0.047896344,0.07584685,0.10352202,0.19107366,0.06627269,-0.0333897,0.06320323,0.105682656,0.02454113,0.10178973,0.078640886,-0.006757538,0.09592055,0.08960691,0.007789188,0.07700622,0.06374006,-0.0370836,0.051640145,0.08229937,-0.012574129,0.06568718,0.11393569,-0.10796152,0.109813385,0.11359608,-0.026241124,0.075545676
0.06985736,2.1034229e-08,-1.116422e-08,0.09081377,0.020612147,0.08079003,0.11220265,-0.026849031,0.061578993,0.10976665,-0.013069023,0.077518374,0.10498347,-0.017434701,0.08781855,0.09128568,-0.002298817,0.06288923,0.066482894,0.063271485,0.16793725,0.07349338,-0.012748512,0.10083919,0.09251596,0.0054090153,0.032023154,0.06667623,-0.013880346,0.098111436,0.064830266,-0.021162275,0.052864995,0.07465912,0.099576764,0.16799422,0.058501482,-0.01679297,0.049798165,0.08271511,0.026049849,0.08848371,0.07282591,0.012204461,0.104540125,0.053335093,-0.025339589,0.06275575,0.10614602,-0.03388281,0.027773734,0.054658774,-0.027941454,0.07323118,0.093572974,0.06574015,0.12032929,0.0880854,-0.045873035,0.044474185
0.08528949,-6.562712e-09,3.528669e-08,0.09443588,0.008354912,0.105809934,0.11651995,-0.059535976,0.021441825,0.11798708,-0.07589002,0.12031015,0.12941086,-0.08697757,0.06964926,0.090347566,-0.006144721,0.18394901,0.11776557,0.13136226,0.222907,0.109763406,0.035578966,0.08918829,0.09766343,0.05021152,0.08932301,0.09515923,-0.023488933,0.04224571,0.08122179,-0.046086706,0.05874738,0.08193046,0.107726246,0.18777256,0.091166064,-0.04866658,0.03575448,0.11469424,0.022385487,0.09871652,0.066286676,0.021032589,0.11374281,0.08640393,-0.008084684,0.08018504,0.08003627,-0.02719724,0.06650149,0.06504964,-0.014803374,0.081970416,0.11026452,0.17756434,0.07321747,0.119518496,-0.007639697,0.11162271
0.079819106,-1.7033129e-08,1.113896e-08,0.12238636,0.041354805,0.116937675,0.10910576,-0.05193877,0.0571188,0.11830129,-0.03580223,0.09440853,0.12200455,-0.07275977,0.080982834,0.09546197,-0.05501824,0.098214746,0.09204854,0.11562692,0.20122963,0.1075529,0.015712107,0.07968998,0.09126582,0.021458806,0.12980849,0.09674761,-0.039626725,0.05951724,0.09590394,-0.030063987,0.06714307,0.07529444,0.0991667,0.18897092,0.08732005,-0.026991822,0.042058155,0.11268317,0.007812474,0.09832159,0.07765215,-0.009944952,0.102208324,0.09197032,-0.01967939,0.046514794,0.09205212,-0.03407984,0.06420872,0.08237253,0.015509195,0.109978214,0.10260209,0.0226552,0.031049281,0.10304272,-0.04064392,0.07362249
0.07854499,4.4430024e-09,3.859917e-08,0.120859355,0.03344809,0.114170305,0.11056726,-0.022660935,0.08893621,0.13249843,-0.025822142,0.107432954,0.1227617,-0.048564214,0.08784364,0.08049535,-0.112920135,0.09347399,0.09159872,0.08549093,0.19266738,0.08255878,-0.0303154,0.06823455,0.092878446,0.04122254,0.13352731,0.08174742,-0.034845386,0.044348,0.069866315,-0.02397127,0.05162292,0.08819839,0.1189553,0.18753214,0.058537804,-0.033477165,0.056290008,0.10486267,0.017677478,0.076266,0.063189514,0.0039207414,0.10018222,0.101190716,-0.015459785,0.05589033,0.075400285,-0.02783389,0.050814055,0.09107719,0.0074173165,0.08551361,0.12298826,-0.023328,0.026834577,0.08327891,-0.05298926,0.067017704
0.071118444,-4.9661864e-08,5.8884817e-09,0.06705946,-0.008032436,0.08973064,0.12504426,-0.0440855,0.0139189325,0.115846835,-0.07333097,0.07255254,0.09881127,-0.066045016,0.05093469,0.10798358,-0.12225434,0.11590867,0.08951624,0.08107197,0.18813917,0.10142407,-0.02420247,0.026575286,0.112901025,-0.004726272,0.12140984,0.074250676,-0.035029978,0.06749681,0.05812801,-0.025599787,0.044579495,0.10020691,0.08531481,0.15956463,0.07375461,-0.031198079,0.068445265,0.08556447,0.044753432,0.120567605,0.081422634,-0.0049901856,0.090717375,0.07643979,-0.010428936,0.056176662,0.07535732,-0.03466931,0.046726547,0.086811386,-0.0052947355,0.09430304,0.10538342,-0.13186572,0.06911382,0.081784494,-0.051593296,0.031312503
0.05794148,2.810477e-08,-2.0698181e-08,0.094012946,0.07324014,0.12108769,0.10970304,-0.043688364,0.024455734,0.10486101,-0.026669158,0.09627118,0.10907532,-0.08613727,0.07059658,0.07228787,0.037581902,0.24849615,0.09987729,0.070709735,0.16220172,0.07470293,-0.042639904,0.07012291,0.073440626,0.03114979,0.12947387,0.067600355,-0.019403895,0.050766096,0.06415889,-0.033347476,0.027648533,0.107391365,0.10453684,0.16517834,0.06767845,-0.027586192,0.06910559,0.088921,0.006830047,0.06609973,0.08501133,-0.00773759,0.100668125,0.1029223,-0.013740867,0.0785461,0.07330494,-0.05490899,0.07184869,0.092782676,0.0026705423,0.06787793,0.11382038,0.034184005,0.15235972,0.12352802,-0.01054194,0.06786361
0.08461887,1.8628025e-08,-2.657656e-08,0.08866905,-0.031819098,0.047983695,0.11733842,-0.05492559,0.023589429,0.101092026,-0.05177748,0.069549404,0.10557825,-0.06447926,0.06584527,0.10098644,-0.18433756,0.0328934,0.084791884,0.058102395,0.14770612,0.10307314,0.030061537,0.0924892,0.1050652,-0.032066654,0.06661091,0.060671948,0.009759378,0.0911209,0.054330073,-0.020764042,0.047301248,0.10416478,0.0899814,0.16013317,0.079206504,-0.019727886,0.07858653,0.095025815,0.023516083,0.08514433,0.07488258,0.010235745,0.10184109,0.09808149,-0.03635701,0.059281405,0.09377064,-0.05340481,0.04403684,0.06778723,-0.011809992,0.086197056,0.10126739,0.017468873,0.1417786,0.1058962,-0.05608947,0.051386185
0.07899431,1.7602868e-08,-2.1932633e-08,0.09900769,0.028206225,0.10830113,0.10727251,-0.032591663,0.043817975,0.106129505,-0.030826358,0.05529209,0.11169734,-0.07517529,0.05289622,0.06751898,-0.07933116,0.04583744,0.0764661,0.1093136,0.14779091,0.07462365,0.026431443,0.054811344,0.08705436,0.026681006,0.120437495,0.0861822,-0.04259691,0.04487893,0.06907084,-0.033605937,0.058586106,0.07546966,0.11645521,0.19672807,0.067301095,-0.019467747,0.061432797,0.12186901,0.012063036,0.08064535,0.056785736,-0.018620884,0.09270036,0.07371605,0.005884134,0.0631929,0.09247471,-0.023125058,0.037087217,0.07825355,-0.003529326,0.06389454,0.11090066,-0.08059574,0.06366876,0.10116642,-0.02719656,0.09491359
0.07701726,-1.4917555e-08,1.688694e-08,0.1029037,0.031483676,0.14127922,0.115086764,-0.018846938,0.07899467,0.12201731,-0.007613497,0.10107567,0.11381386,-0.03847728,0.09389272,0.08394236,-0.041497968,0.09870498,0.07419391,0.07397635,0.1825695,0.07444522,-0.045944475,0.07788047,0.09542888,0.020501472,0.072029024,0.07719853,-0.019889187,0.084781006,0.058551796,-0.028774373,0.047684934,0.0795054,0.09675803,0.16117555,0.052628197,-0.01882717,0.046302497,0.07951124,0.033617973,0.085270144,0.06611176,0.0006057427,0.093440205,0.04781826,0.00022624922,0.06259758,0.08539469,-0.024050223,0.019619934,0.06078895,-0.04130304,0.051968068,0.11154479,0.054109618,0.09563484,0.099410065,-0.06877658,0.045509472
0.054146394,9.08427e-09,-4.6355844e-08,0.08505645,0.04887768,0.12844382,0.12760492,-0.028454598,0.03250455,0.09838532,-0.05072757,0.06620903,0.119369425,-0.08623956,0.061969206,0.094940186,-0.05405527,-0.034462743,0.082015835,0.0746041,0.16005602,0.07483348,-0.028778087,0.05849252,0.07199044,0.02117485,0.09775358,0.06204851,-0.03410308,0.046954356,0.059262138,-0.008905577,0.048752367,0.107704595,0.11446541,0.17836793,0.062651396,-0.020448094,0.08308639,0.10710052,-0.018775512,0.05403988,0.06454561,-0.029668568,0.09202982,0.10392204,-0.004265464,0.04625326,0.075861186,-0.048566192,0.0328793,0.10521145,0.0015233569,0.074915096,0.11802369,0.060118176,0.10664076,0.109482124,-0.018550009,0.09498643
0.08065735,3.8348933e-09,2.0599092e-08,0.1140089,0.058928307,0.12532058,0.101655185,-0.021416087,0.11487694,0.13968481,0.018644184,0.142958,0.12826899,-0.029059425,0.08766032,0.07974937,-0.050630048,0.07219671,0.08154611,0.09682761,0.15851407,0.07231071,-0.047426157,0.08740669,0.0898444,0.06330605,0.09621158,0.09766006,-0.039659668,0.060789634,0.06969669,-0.044780537,0.057741262,0.06595322,0.116353154,0.18010813,0.06424382,-0.036629163,0.052206125,0.08858003,0.02412799,0.09039688,0.06661652,-0.0018853904,0.08968896,0.08135094,0.0007577513,0.06796365,0.089770444,-0.019928107,0.05130753,0.08751673,-0.0058315904,0.088091955,0.11606818,-0.051190764,0.06523874,0.113430314,-0.08126436,0.050391663
0.07535174,7.162427e-09,-1.681695e-08,0.096770324,-0.014116736,0.119499795,0.10568112,-0.019031182,0.062376473,0.12913226,-0.032520376,0.057236876,0.11852518,-0.094916075,0.074695714,0.08373792,-0.14811575,-0.003455758,0.10061274,0.08410137,0.16349268,0.06506543,-0.055368766,0.042687766,0.09548701,0.015834574,0.13267244,0.06300913,-0.018944599,0.08058423,0.060193066,-0.035154976,0.043463923,0.10528095,0.11236395,0.16605265,0.056626983,-0.037636567,0.06884416,0.09487556,0.022952165,0.087232605,0.06612463,-0.011465396,0.06842548,0.072681546,-0.0056229634,0.061959624,0.0667146,-0.023118008,0.039412044,0.10974854,-0.0069381283,0.08238393,0.14080408,-0.07134427,-0.023039654,0.067588516,-0.07487378,0.044262655
0.07970244,-2.45871e-08,-6.020561e-08,0.07606267,-0.013699299,0.06819577,0.1419672,-0.052937776,0.030114966,0.09699351,-0.075029,0.045645293,0.10979668,-0.07864529,0.04185714,0.09224202,-0.14219473,-0.041088603,0.057782326,0.09475996,0.17761672,0.06976824,-0.003300733,0.116610646,0.09619231,-0.02515398,0.0610516,0.06553407,-0.015553776,0.08217872,0.06972825,-0.019941052,0.049075767,0.085762985,0.10372152,0.18037161,0.07428568,-0.013843702,0.06769233,0.108614944,0.0017007235,0.06950489,0.050554194,-0.00013950124,0.11832778,0.0703913,-0.018206116,0.01175021,0.08498496,-0.039243314,0.014211491,0.047512334,-0.00687746,0.08315048,0.08920037,0.18369664,0.11977992,0.0954952,-0.02383892,0.06994311
